Common Name,Latin Name,Category,Little Shapefile Name,PLANTS Distribution,Error,,Native (Y/N)
"Spirea, Meadowsweet",Spirea alba,Broadleaf Shrubs,0,0,,,
"Spirea, Steeplebush",Spirea tomentosa,Broadleaf Shrubs,0,0,,,
Korean Fir,Abies koreana,Fir,0,0,,,
Serbian Spruce,Picea omorika,Spruce,0,0,,,
"Serviceberry, Saskatoon",Amelanchier alnifolia,Small Broadleaf Trees,amelalni,0,,,
Yellow Raspberry,Rubus spp,Fruits,0,0,,,
Balsam Fir,Abies balsamea,Fir,abiebals,abies_bals,,,
Canaan Fir,Abies balsamea var. phanerolipsis,Fir,abiebals,abies_bals,,,
Concolor Fir,Abies concolor,Fir,abieconc,abies_conc,,,
Fraser Fir,Abies fraseri,Fir,abiefras,abies_fras,,,
"Maple, Amur - Flame","Acer ginnala, 'Flame'",Small Broadleaf Trees,,acer_ginn,,,
Box Elder,Acer negundo,Large Broadleaf Trees,acernegu,acer_negu,,,
"Maple, Black",Acer nigrum,Large Broadleaf Trees,acernigr,acer_nigr,,,
"Maple, Striped",Acer pensylvanicum,Small Broadleaf Trees,acerpens,acer_pens,,,
"Maple, Red",Acer rubrum,Large Broadleaf Trees,acerrubr,acer_rubr,,,
"Maple, Silver",Acer saccharinum,Large Broadleaf Trees,acersacc,acer_sacc,,,
"Maple, Sugar",Acer saccharum,Large Broadleaf Trees,acersacr,acer_sacr,,,
"Maple, Mountain",Acer spicatum,Small Broadleaf Trees,acerspic,acer_spic,,,
"Buckeye, Ohio",Aesculus glabra,Large Broadleaf Trees,aescglab,aescu_glab,,,
"Buckeye, Red",Aesculus pavia,Small Broadleaf Trees,aescpavi,aescu_pavi,,,
"Alder, Speckled",Alnus rugosa,Small Broadleaf Trees,alnurugo,alnus_rugo,,,
"Serviceberry, Downy",Amelanchier arborea,Small Broadleaf Trees,amelarbo,amela_arbo,,,
"Serviceberry, Shadblow",Amelanchier canadensis,Small Broadleaf Trees,0,amela_cana,,,
"Serviceberry, Allegheny",Amelanchier laevis,Small Broadleaf Trees,0,amela_laev,,,
Leadplant,Amorpha canescens,Broadleaf Shrubs,0,amorp_cane,,,
False Indigo,Amorpha fruticosa,Broadleaf Shrubs,0,amorp_frut,,,
"Chokeberry, Red",Aronia arbutifolia 'Brilliant.',Broadleaf Shrubs,0,aroni_arbu,,,
"Chokeberry, Black",Aronia melanocarpa,Broadleaf Shrubs,0,aroni_mela,,,
"Paw Paw, Common",Asimina triloba,Small Broadleaf Trees,asimtril,asimi_tril,,,
Asparagus,Asparagus officinalis,Fruits,0,aspar_offi,,,
"Birch, Yellow",Betula alleghaniensis,Large Broadleaf Trees,betualle,betul_alle,,,
"Birch, Sweet",Betula lenta,Large Broadleaf Trees,betulent,betul_lent,,,
"Birch, River",Betula nigra,Large Broadleaf Trees,betunigr,betul_nigr,,,
"Birch, Paper (Canoe)",Betula papyrifera,Large Broadleaf Trees,betupapy,betul_papy,,,
"Birch, Gray",Betula populifolia,Large Broadleaf Trees,betupopu,betul_popu,,,
Butterfly Bush,Buddleja davidii,Broadleaf Shrubs,0,buddl_davi,,,
Sweet Shrub,Calycanthus floridus,Broadleaf Shrubs,0,calyc_flor,,,
Musclewood (Hornbeam),Carpinus caroliniana,Small Broadleaf Trees,carpcaro,carpi_caro,,,
"Hickory, Bitternut",Carya cordiformis,Large Broadleaf Trees,carycord,carya_cord,,,
"Pecan, Northern",Carya illinoinensis,Large Broadleaf Trees,caryilli,carya_illi,,,
"Hickory, Shellbark",Carya laciniosa,Large Broadleaf Trees,carylaci,carya_laci,,,
"Hickory, Shagbark",Carya ovata,Large Broadleaf Trees,caryovat,carya_ovat,,,
"Hickory, Mockernut",Carya tomentosa,Large Broadleaf Trees,carytome,carya_tome,,,
"Chestnut, American ***",Castanea dentata,Large Broadleaf Trees,castdent,casta_dent,,,
"Chestnut, Chinese",Castanea mollissima,Large Broadleaf Trees,0,casta_moll,,,
"Catalpa, Northern",Catalpa speciosa,Large Broadleaf Trees,cataspec,catal_spec,,,
New Jersey Tea,Ceanothus americanus,Broadleaf Shrubs,0,ceano_amer,,,
"Hackberry, Common",Celtis occidentalis,Large Broadleaf Trees,celtocci,celti_occi,,,
Button Bush,Cephalanthus occidentalis,Broadleaf Shrubs,cephocci,cepha_occi,,,
Redbud,Cercis canadensis,Small Broadleaf Trees,cerccana,cerci_cana,yes,,
Summersweet,Clethra alnifolia,Broadleaf Shrubs,0,cleth_alni,,,
"Fern, Sweet",Comptonia peregrina,Broadleaf Shrubs,0,compt_pere,,,
"Dogwood, Pagoda",Cornus alternifolia,Small Broadleaf Trees,cornalte,cornu_alte,yes,,
"Dogwood, Silky",Cornus amomum,Broadleaf Shrubs,0,cornu_amom,,,
"Dogwood, Roughleaf",Cornus drummondi,Broadleaf Shrubs,corndrum,cornu_drum,yes,,
"Dogwood, White flowering",Cornus florida,Small Broadleaf Trees,cornflor,cornu_flor,,,
"Dogwood, Gray",Cornus racemosa,Broadleaf Shrubs,cornrace,cornu_race,,,
"Dogwood, Roundleaf",Cornus rugosa,Broadleaf Shrubs,cornrugo,cornu_rugo,,,
"Dogwood, Red twig",Cornus stolonifera (sericea),Broadleaf Shrubs,cornstol,cornu_stol,,,
"Hazelnut, American",Corylus americana,Broadleaf Shrubs,0,coryl_amer,,,
"Hazelnut, Beaked",Corylus cornuta var. cornuta,Broadleaf Shrubs,corycorn,coryl_corn,,,
"Hawthorn, Downy",Crataegus mollis,Small Broadleaf Trees,0,crata_moll,,,
"Hawthorn, Washington",Crataegus phaenopyrum,Small Broadleaf Trees,0,crata_phae,,,
"Honeysuckle, Dwarf Bush",Diervilla lonicera,Broadleaf Shrubs,0,dierv_loni,,,
"Persimmon, Common",Diospyros virginiana,Large Broadleaf Trees,diosvirg,diosp_virg,,,
Leatherwood,Dirca palustris,Broadleaf Shrubs,0,dirca_palu,,,
